Episode Number,Total Reward,Running Average,p,i,d,joint index
1,-6.875970944677529,-6.875970944677529,731.4715576171875,9.999654366765753e-07,102.04003143310547,1
2,-6.8844056373391185,-6.876055291604144,730.0996704101562,9.999616850109305e-07,102.22567749023438,1
3,-6.9036042683316845,-6.87633078137142,730.2096557617188,9.999540679928032e-07,102.19005584716797,1
4,-6.813869252197794,-6.875706166079683,736.5350341796875,9.999569101637462e-07,101.32091522216797,1
5,-6.645966459991241,-6.873408769018798,750.9089965820312,9.999569101637462e-07,99.52288055419922,1
6,-6.536773667998905,-6.8700424180086,764.2241821289062,9.999569101637462e-07,97.07022094726562,1
7,-6.550635663073169,-6.866848350459246,761.8693237304688,9.999569101637462e-07,95.7037353515625,1
8,-6.585424770942311,-6.864034114664077,759.17626953125,9.999569101637462e-07,92.95330810546875,1
9,-6.725401919480951,-6.862647792712245,746.077880859375,9.999673693528166e-07,90.10125732421875,1
10,-7.027364816503169,-6.864294962950154,721.0781860351562,9.999664598581148e-07,87.2205581665039,1
11,-7.528427642032318,-6.870936289740976,682.1421508789062,9.999616850109305e-07,85.22431182861328,1
12,-8.247305010078854,-6.884699976944354,635.9607543945312,9.999616850109305e-07,83.34112548828125,1
13,-9.457821063158722,-6.9104311878064975,575.8517456054688,9.999625945056323e-07,81.11066436767578,1
14,-11.3552253239742,-6.954879129168175,508.37493896484375,9.999616850109305e-07,79.2692642211914,1
15,-15.027443201468692,-7.0356047698911794,423.43756103515625,9.999616850109305e-07,80.05518341064453,1
16,-20.730828894399384,-7.172557011136261,343.4923400878906,9.999454277931363e-07,82.18338775634766,1
17,-31.415009867903805,-7.414981539703937,259.7077331542969,9.990933449444128e-07,93.92111206054688,1
18,-35.2552415306777,-7.693384139613674,240.41131591796875,9.98583573164069e-07,94.64000701904297,1
19,-37.04590935962505,-7.9869093918137875,232.45155334472656,9.98397013063368e-07,93.70218658447266,1
20,-38.76045511259331,-8.294644849021584,225.78663635253906,9.980733466363745e-07,93.07403564453125,1
21,-40.48898862474001,-8.616588286778768,219.26304626464844,9.9778117146343e-07,92.31049346923828,1
22,-42.83126550406432,-8.958735058951625,210.91468811035156,9.973673513741232e-07,91.6250228881836,1
23,-44.54136963680081,-9.314561404730117,205.906494140625,9.972987982109771e-07,89.53945922851562,1
24,-46.533238703088685,-9.686748177713703,200.05294799804688,9.969098755391315e-07,88.6785659790039,1
25,-48.20902798722773,-10.071970975808844,195.1249542236328,9.96393850982713e-07,88.44841003417969,1
26,-48.653264452174874,-10.457783910572504,195.2083282470703,9.962712965716491e-07,87.06805419921875,1
